date,aave,algorand,amp-token,arweave,avalanche-2,axie-infinity,basic-attention-token,binance-usd,binancecoin,bitcoin,bitcoin-cash,bitcoin-cash-abc-2,bitcoin-cash-sv,bittorrent-2,blockstack,cardano,cdai,celo,celsius-degree-token,chainlink,chiliz,compound-ether,compound-governance-token,compound-usd-coin,convex-finance,cosmos,crypto-com-chain,curve-dao-token,dai,dash,decentraland,dogecoin,ecash,ecomi,elrond-erd-2,enjincoin,eos,ethereum,ethereum-classic,fantom,filecoin,flow,frax,ftx-token,gala,harmony,hedera-hashgraph,helium,holotoken,huobi-btc,huobi-token,internet-computer,iota,kadena,klay-token,kucoin-shares,kusama,leo-token,link,litecoin,loopring,magic-internet-money,maker,matic-network,monero,msol,near,nem,neo,nexo,okb,olympus,pancakeswap-token,paxos-standard,polkadot,quant-network,radix,ripple,shiba-inu,solana,staked-ether,stellar,sushi,terra-luna,terrausd,tether,tezos,the-graph,the-sandbox,theta-fuel,theta-token,thorchain,tron,true-usd,uniswap,usd-coin,vechain,waves,wrapped-bitcoin,zcash
2021-01-01,870687455.0307761,215919815.63951403,0.0,92968609.9004986,191985363.4585562,24197231.814009596,241801457.16022173,807477017.1574463,4508825165.289169,441601238643.4067,5219803259.43677,0.0,2493509638.7070813,155987662.19132173,297679176.6754289,4637519984.3743925,966213672.3812208,0.0,1718987424.4071991,3655211453.241691,94005271.48093948,648435177.0527385,507178784.4619818,592434722.9091483,,1256895337.9607255,1072731731.3445648,89923754.76669416,956972502.5692265,807417452.8918791,84633094.05971742,489449889.69933414,,0.0,301325727.31552905,98629550.78258178,2011399239.6330597,68795945553.37424,538559425.1736666,35049290.77699742,888913567.9275455,,46980513.16259173,427047537.4034384,9232962.356068825,30644791.7823803,172465404.3731521,66158006.036046095,87113730.21902627,210490650.5362662,833521687.7373893,,672755023.7783465,7483723.218291902,0.0,45572089.52028709,532767269.27471894,1103506339.3266006,0.0,6739748206.294279,172572751.0018638,,433690677.8505021,69281816.25361314,2275729312.2394004,,273758247.2405879,1495591745.8019445,822328477.6689277,251172480.18577713,1734622020.3485045,,43775592.08314998,274927143.89129895,7196257823.845624,113183962.24636346,,8175613152.468317,0.0,57113332.44038134,10097942.012391703,2300215972.4133096,297646720.1733493,257722682.73135364,148169652.0913452,17139357845.377481,1241519503.8791966,352003747.74701834,18119431.563376497,0.0,1523650629.335133,209632076.96144742,1570737264.2520998,230470003.5981345,900193645.5773435,3213818337.006854,993830475.7459666,504581600.1092946,2673791398.687148,565847790.2218784
2021-01-02,889223861.5889835,264209196.73688367,0.0,94296724.67540318,234135915.8769273,27057119.478344414,250297527.6016536,886675433.8096038,4602055180.336526,448095762683.38556,5225808506.095488,0.0,2495297760.6527343,159561280.58525014,329341335.6867761,4498924523.534992,953642165.3950653,0.0,1726443435.8142104,3889883438.992571,91726129.25854833,679556193.7417787,493295514.37334806,600743307.7526518,,1154017927.2903807,1102656798.724429,91906835.686581,990805598.954612,718050789.6061952,91424459.47952972,583087372.6868944,,0.0,321952363.3053656,103677551.5558562,2055501001.4101496,68409430633.34955,544396820.6515589,35899429.126089424,822251235.4150417,,59145167.07781541,433963010.21482027,6378742.201631525,30790492.52047786,183782217.32146433,70398771.3842331,90433459.22547555,214723461.90046406,999557649.8735621,,668422122.2999564,7170064.911050035,0.0,45403348.81274867,512850682.65104276,1112803724.5667844,0.0,6864938993.365378,180409860.9435778,,432813693.3008409,70455137.53612992,1988401970.8307884,,268089858.00423354,1651724267.6312733,837300180.1765593,267758807.57181808,2057422720.175656,,46880192.42689586,285648131.4094961,6490925578.059291,112739990.3793197,,8858341364.114128,0.0,71131585.11856398,9990929.195314711,2389561761.9923396,347687936.3733845,259388346.73142633,150552701.03504148,17378021075.830166,1255168694.34662,365607864.9105847,18874082.164213054,0.0,1645386569.208636,233173719.2978144,1588322479.4233243,236329966.00770795,842357722.5425853,3398209114.104049,1020427627.0807745,495790880.8059058,2732624011.7783203,505926454.5805545
2021-01-03,849969999.3849453,268098768.52799898,0.0,96534410.65496598,222292675.66083497,24664240.3879434,249200918.22328103,941703431.9334432,4668310746.550922,492697142482.07477,5434059189.715539,0.0,2503301955.864119,183336853.01210403,343169667.97157246,4566192309.519039,506645757.3279153,0.0,1898113304.0339515,3994235974.741612,85423219.40496768,713775208.6679449,464047749.54835695,1171474272.7825906,,1062494388.7631534,1155249843.9314332,90312425.56939134,976004891.6440599,710590226.4745047,87196889.6601756,1116456998.1780772,,0.0,320767774.4747096,100015362.90982728,2047731629.7047668,73008146640.09474,554476571.9259083,34327322.03707801,801611874.697945,,64515658.037732765,462377487.8441626,6899390.26992559,31116003.647872873,187154816.35656792,67244114.5540636,112182862.23684864,232984830.1058111,931736778.3944533,,655754494.8710445,7559154.684981236,0.0,44945933.28533031,513644671.31202686,1116278050.6058142,0.0,7515223194.162295,179733692.8760341,,453523716.21904707,75187157.37541647,2110947181.2323678,,280690216.741661,1498709678.909437,839014828.7321858,295586410.78182214,1834465327.2577038,,44325188.67327294,294784664.72996587,7233685056.229912,123035234.488978,,8295514765.55746,0.0,69292545.7581306,10882535.116374586,2319134345.9640155,335050132.3716879,251942407.06377172,150197216.76741916,17472589632.392746,1246571897.4751284,329350340.468299,19544323.515153337,0.0,1963905183.345694,234220509.70512846,1610182354.2445242,234456032.7297792,860670487.2501509,3401831255.7632623,1063107775.1883413,460435048.2194767,2849699091.9765444,513824036.10946316
2021-01-04,934121368.2998455,275059426.69302535,0.0,92970462.99938521,221537892.91990423,26030435.753600024,265535735.76429394,957316113.6358947,5031910377.241117,500899785176.27893,6378810020.099955,0.0,2607097399.129394,170521630.7688908,365299981.37739015,5288184654.910288,514081448.43211347,0.0,2054056735.5789645,4531663712.510174,86697593.67662814,948710426.5795193,500875101.2646303,912853023.4880799,,1142545944.8775313,1118089547.7433012,100823503.69932748,1011312265.8482101,719512030.6432092,88826455.26590395,1051968781.8119826,,0.0,337886607.3435353,103048583.57947987,2200553866.953552,91879332622.34866,632683808.688662,39605709.957775995,785348813.2016813,,64404708.84700518,516800781.6678025,6626858.72210694,35605027.47734686,187029157.76224437,68931795.64915581,110846686.28240319,242118644.4435634,938177447.0270376,,708549900.1303504,6800216.958000608,0.0,46821558.75833542,532792214.96136737,1077172657.4529486,0.0,8623598689.790031,278915617.5821124,,504645171.78837276,79799923.28918824,2043268735.0918152,,292871998.51054615,1578401853.9604456,934249503.5710235,282834048.5876595,1688474337.7475102,,47191364.436412625,314267492.76145184,8031649732.1882,112773929.81473176,,8536817812.261231,0.0,81468663.50020616,12947609.854603074,2461572652.451909,365635278.54759574,263893401.27751133,149348691.85328758,17452153017.46792,1332194486.485721,301949332.28572613,21097444.810229547,0.0,1768903030.564385,271311876.84922767,1750443664.2193542,233914080.51862505,982079706.484013,3451070229.9718084,1419723264.615677,464383007.4862927,2957796488.442264,530424980.7018235
2021-01-05,1067145735.7242148,266687651.11092055,0.0,94676313.8948546,221972946.31367126,24567726.78864814,259198327.14754716,860298196.1893225,4784125050.150358,478171698148.08514,6050817641.641648,0.0,2503160301.961907,166305592.21782988,359271133.02248764,5532547183.1438,775556656.8786972,0.0,1839746577.425903,4330720205.32717,81685875.65234809,854236941.7247437,486872325.7956809,622827473.7693769,,1134212129.377639,1188041987.7694595,96932208.57647394,1072359688.065401,706066814.8551595,84587024.09545675,1001125493.9690789,,0.0,413130314.8483365,105241654.79768124,2135330449.3836162,95265263542.96118,650957293.8615506,41410638.81809556,762209055.7561315,,62270862.55175972,543380517.9873445,8409638.43595646,34429909.43786605,179158932.7468452,68692025.11489408,104166211.79322691,227028013.69826296,902945372.1717182,,772002812.613959,7181553.14260345,0.0,53185251.89206257,488955568.7278256,1058798713.1413231,0.0,8244371515.191629,371447227.6559596,,491182994.60551226,93040419.30827841,1899867432.617465,,268595378.345881,1482259912.2626336,918166048.6688657,280774542.9290049,1569441047.179943,,44992227.00195595,292806472.0097169,7157393391.560933,111794640.67300774,,8635813106.722214,0.0,91269900.48265326,14266460.13590871,2933349692.07079,357719869.37492305,259230695.44286346,149214135.42177093,17803669080.56814,1395393042.3526883,301218904.9659782,20160097.954813715,0.0,1533727207.307986,276059485.8863003,1793948402.531161,240648245.73456424,919887923.1317778,3473123343.771639,1262012309.69668,431909922.9295233,2785186802.140074,523876886.4398378
2021-01-06,1174965577.0130785,315343869.90577877,0.0,100787352.35896909,267870275.45776895,25115486.11560683,278745383.78159094,871573787.3176422,4997593694.026048,515199362652.24603,6332437908.779888,0.0,2550858821.002167,166449291.98909682,389502427.0578126,6575856990.817717,819614170.737967,0.0,1883613215.3095217,4729271864.173259,87460529.80417687,920810014.6286569,543627492.337348,651149877.7250173,,1202889780.7405138,1220301532.5209413,101455917.8918219,1073826517.514364,714993862.8277981,88648512.31215866,1022734589.9047824,,0.0,467279827.7070054,109823129.1476781,2236607738.6838965,101734328085.3723,673331963.9357973,42356834.27794992,784749535.0190996,,62627911.71796902,636315339.5278987,8931551.104332423,36030164.84407638,209288756.62822747,76348196.6979275,105100657.80749625,245528930.81241697,919817011.2535304,,797916987.5765197,7536541.36995303,0.0,55194800.407608114,494961635.74461734,1064838857.7470043,0.0,8566197295.20837,511495178.58888847,,564231404.7741151,95730550.80156204,1979974669.3250022,,298696801.9353521,1500644100.8683336,964079396.1045064,282741405.348942,1665448376.9628038,,49520610.94719273,309497363.559493,7536866997.651159,126565238.53760691,,8373976357.029492,0.0,81583995.65298618,15761322.654069044,3476092173.6920967,399748700.0676877,282097280.8969496,151527063.21966314,17839212212.149036,1455730658.2556727,332730099.3150124,21189663.6534522,0.0,1736972737.015319,282876846.7961383,1667058483.4069324,245875534.43053186,1107649995.6233697,3555436349.9613585,1470249016.6658278,454416857.6093294,3019312240.718441,526629885.4879047
2021-01-07,1132156207.6308913,334892110.93523055,0.0,109763894.85459433,290118498.7162324,26931720.37701385,302450881.3049172,895078259.7955106,5035807926.355381,553364438271.5564,6864722753.382124,0.0,2730632274.10619,176410901.28548515,390119174.4491241,8327494364.323945,838223065.5972314,0.0,1872152007.0115464,5529346220.226385,92602138.76838799,989978726.8221172,607746317.2633858,658701314.0347248,,1306007341.6407807,1407387784.190944,106882981.25631295,1065745486.6708896,759047045.625323,99705069.41870494,1078831013.5538175,,0.0,525692806.396577,120681502.64084022,2625089688.587432,111287284894.34828,720352152.6253784,49599412.74931197,795743065.3311092,,63491358.24308935,682340976.1361564,8055676.987488076,39312811.44525888,212279147.14972094,78046572.8410739,109871051.74097258,261855659.3828565,952694729.1638383,,862685753.3464154,11647451.61473192,0.0,58096619.042535126,549459472.2992421,1055302519.6506833,0.0,9065651989.780117,412639384.28477347,,744903459.3090603,137094275.2329469,2052022797.0123487,,307231801.92305595,1910725955.6475625,1124014962.6990995,303875291.43978393,1634640465.882479,,48258758.5607684,331375618.65140665,7835863013.289186,124262267.22301875,,9286734286.45246,0.0,72787882.65399756,17358270.59298088,6195549463.220073,401103984.02236277,279714644.53318393,152934117.76335472,18088383829.936802,1601840599.4070132,372056681.14334005,22648012.990256242,0.0,1766958760.306991,282969472.1715106,1796451565.3892653,246577178.7940179,1113490647.297191,3552090149.9613523,1613621495.1695433,480012815.4655638,3252397633.7204976,563481601.7618716
2021-01-08,1137820371.5697653,299252682.3121726,0.0,101490452.63817163,279571970.01425064,27225959.899434533,309217484.3951862,893640947.6042926,5184760857.697495,599263623840.409,6770009653.214149,0.0,2659827370.621019,178333316.95614812,400359019.23392636,7557713977.878147,857751618.8020363,0.0,1776924191.0090802,5151210115.209126,86629975.5388759,982127996.7988393,580604497.2559627,665319054.6993839,,1207569144.0751781,1430932978.1345747,105546934.49407488,1111831736.3388236,802831753.4243938,125335484.53704089,1018567441.2861552,,0.0,512666825.2382977,122825277.33983395,2469612913.911783,113379400201.63611,679727826.3314211,49378431.244956754,802977805.7361567,,62578152.49590894,699832945.1608242,7461164.42050929,45364053.058888644,213172039.19613424,72379361.11435913,114276581.0092937,373085184.1259973,958399853.496196,,860620711.708525,10882026.078608934,0.0,64738984.267550275,497763378.96676457,1061048178.4390589,0.0,9195000712.606808,374504947.05622864,,783949166.7775916,129780523.40084156,2079917765.373531,,301781502.5769439,1827202884.9725928,1191414362.952959,282608307.6822041,1652675361.570702,,44376451.6513819,388220283.71256274,7462803012.560866,129171761.40395983,,12047670305.264414,,503364269.16105264,18738004.138162524,5613325313.477758,408479893.34722483,338027033.4029442,150579876.89820376,18602186582.785778,1553502174.8758957,345883321.1968348,21977389.43808596,0.0,1624315326.375275,261091421.14188126,1800479518.1279411,246897549.2595675,1098339419.0332398,3657852625.9196506,1507059253.5788455,480652993.8721058,3508212727.9181895,599313202.7775109
2021-01-09,1098757274.6120448,298114791.3427104,0.0,98974615.85449827,350415492.1563451,26830419.41213226,303724766.9407237,903308389.9540042,5120677698.655693,621101653038.192,6645176848.594939,0.0,2719496566.3563914,179165439.6351922,371789255.7271254,7763025916.723075,945602576.0543957,0.0,1726143484.1776505,4989668888.027211,84538477.36943771,994678058.3141214,557898135.0169746,683086221.6386905,,1152126581.7791603,1510005980.135814,103755370.19714935,1138432759.5445704,778215218.4453633,134903424.1752952,1034632376.8741567,,0.0,519077452.87271607,163959051.00081944,2412813504.2467494,113869466801.34859,658100384.3841377,54901138.101429485,788732185.2407005,,64893028.15329909,692744522.4838579,8055189.2497234205,47773615.17475567,341620877.0927974,74680089.26760656,118255862.60080819,490008274.52656126,805185490.5302796,,837278970.7875026,11388729.149194263,0.0,67180346.9379802,504235473.27850646,1055276524.7137853,0.0,9384614748.556734,357500805.5185063,,768823179.2918152,125540782.3655546,2077172056.03944,,342426174.599027,1712060767.2009416,1136626747.7086756,298402854.6088199,1591504714.9416301,,43822342.67060252,384336779.04377395,7261066955.091734,164614238.41876823,,11964243535.194008,0.0,681677827.8243994,20349148.683316667,5466061626.947637,446074854.06032765,336279072.97108495,153365947.16546515,19250097321.544678,1516982056.3719418,330501822.9152676,22157818.817645602,0.0,1619618138.858007,242283998.66730902,1786461191.5527475,245759659.90603167,1039608561.5940031,3739367741.937403,1460759421.853544,457265764.6869662,3681467532.9749613,609931433.7438952
2021-01-10,1181724528.1476507,323337317.04112804,0.0,114516087.08268595,464477700.3561701,27592973.411464885,338495390.8083724,944720525.4816439,5345870042.766483,612963013407.6307,8854623759.749952,0.0,4387788972.0492935,225516139.74609506,376494389.7621039,8568386712.006345,960690451.3004496,0.0,1699023275.1030312,5849041049.792322,89583237.91424009,1005885021.6389406,623294020.7580991,702026005.4613652,,1298930010.7511687,1542811507.7869337,116700194.07674514,1157295382.8278775,894259342.8058137,126468124.86837108,1068956756.0359725,,0.0,518681450.08771,158723144.95379552,2833093404.6103334,120570885987.18521,753217570.9736359,57496363.48609553,812257214.9917336,,66448450.151392065,711696322.4709964,8546905.057341976,54811774.31678178,287187355.85941607,81811305.91807078,147752359.67323136,592248297.2540368,857708121.5012879,,998824378.0431837,12511463.347730123,0.0,81551879.43651906,512540127.2573457,1063026505.9444276,0.0,9639428202.550362,400277491.48663473,,1135800297.884014,134214034.78626172,2163818835.229795,,361392592.326661,1786911019.336825,1238080202.4007983,293159133.91387916,1615719956.6606767,,44356623.16211191,401630947.69545776,7633679332.921375,186181619.61410016,,12254470775.313808,0.0,732635959.1264724,22117253.076170277,5689167833.566141,491153354.20457417,324310150.48816484,151199923.03461322,19459763397.498535,1642835834.7781887,353451475.88775134,23325677.656537764,0.0,1682335163.151808,287273131.7094795,2014285288.6314425,251754132.2444129,1110030732.7821178,3890745380.2012763,1556942614.7585256,505006110.54193,3658585929.0843415,709759144.01301
